SKU,UPC Code,Product Description,Brand,Retail Price,Product URL,Image URL,Category,Subcategory,
250514,,SIIG AC CE-H26L11-S1 ipcolor 4K HDMI2.0 Extender with IR HDR and ARC Brown Box,SIIG,,https://www.asipartner.com/partneraccess/Products/Products.aspx?SKU=250514,https://www.asipartner.com/ocadmin/images/original/250514.jpg,Accessories,Accessories,
250515,,SIIG AC CE-H26M11-S1 ipcolor 4K HDMI 2.0 Extender Daisy Chain Transmission Kit,SIIG,,https://www.asipartner.com/partneraccess/Products/Products.aspx?SKU=250515,https://www.asipartner.com/ocadmin/images/original/250515.jpg,Accessories,Accessories,
250516,,SIIG AC CE-H26N11-S1 ipcolor 4K HDMI 2.0 Extender Daisy Chain Transceiver,SIIG,,https://www.asipartner.com/partneraccess/Products/Products.aspx?SKU=250516,https://www.asipartner.com/ocadmin/images/original/250516.jpg,Accessories,Accessories,
250517,,SIIG AC JU-DK0L11-S1 Dual Video Full HD HDMI Video Docking Station Brown Box,SIIG,,https://www.asipartner.com/partneraccess/Products/Products.aspx?SKU=250517,https://www.asipartner.com/ocadmin/images/original/250517.jpg,Accessories,Notebook Accessories,
250518,,SIIG AC CE-SD0J11-S1 3G-SDI to HDMI Converter with Scaler and Monitor TAA,SIIG,,https://www.asipartner.com/partneraccess/Products/Products.aspx?SKU=250518,https://www.asipartner.com/ocadmin/images/original/250518.jpg,Accessories,Accessories,
250998,,SIIG AC AC-PW1P11-S1 100W Dual USB-C PD3.0 PPS & QC 3.0 Combo Power Charger WH,SIIG,,https://www.asipartner.com/partneraccess/Products/Products.aspx?SKU=250998,https://www.asipartner.com/ocadmin/images/original/250998.jpg,Accessories,Accessories,
250999,,SIIG AC CE-H26P11-S1 1080p Wireless USB-C Video Hub Extender - 32ft Color Box,SIIG,,https://www.asipartner.com/partneraccess/Products/Products.aspx?SKU=250999,https://www.asipartner.com/ocadmin/images/original/250999.jpg,Accessories,Accessories,
251000,,SIIG AC CE-H26Q11-S1 4K HDMI with Audio Extractor Converter Color Box,SIIG,,https://www.asipartner.com/partneraccess/Products/Products.aspx?SKU=251000,https://www.asipartner.com/ocadmin/images/original/251000.jpg,Accessories,Accessories,
251003,,SIIG AC CE-MT3F11-S1 Adjusting Vertical Dual Monitor Steel Stand - 17 to 32,SIIG,,https://www.asipartner.com/partneraccess/Products/Products.aspx?SKU=251003,https://www.asipartner.com/ocadmin/images/original/251003.jpg,Accessories,Accessories,
251004,,SIIG AC ID-US0811-S1 10PT Industrial USB Gen 1 Hub w Dual USB-C & 65W Charging,SIIG,,https://www.asipartner.com/partneraccess/Products/Products.aspx?SKU=251004,https://www.asipartner.com/ocadmin/images/original/251004.jpg,Accessories,Accessories,
251437,,SIIG AC CE-H26X11-S1 Dual Antenna Wireless HDMI Extender w IR-100M Brown Box,SIIG,,https://www.asipartner.com/partneraccess/Products/Products.aspx?SKU=251437,https://www.asipartner.com/ocadmin/images/original/251437.jpg,Accessories,Accessories,
251443,,SIIG AC CE-KV0A11-S1 4PT FHD Quad-View HDMI KVM MultiView Processor Brown Box,SIIG,,https://www.asipartner.com/partneraccess/Products/Products.aspx?SKU=251443,https://www.asipartner.com/ocadmin/images/original/251443.jpg,Accessories,KVM Switch Box,
251858,,SIIG AC CE-MT1V12-S1 Articulated Freestanding Triple Monitor Desk Stand 13-27,SIIG,,https://www.asipartner.com/partneraccess/Products/Products.aspx?SKU=251858,https://www.asipartner.com/ocadmin/images/original/251858.jpg,Accessories,Accessories,
252028,,SIIG AC CE-H26V11-S1 1x4 HDMI Splitter HDbitT over IP Extender Kit 120m,SIIG,,https://www.asipartner.com/partneraccess/Products/Products.aspx?SKU=252028,https://www.asipartner.com/ocadmin/images/original/252028.jpg,Accessories,Accessories,
252029,,SIIG AC CE-H26W11-S1 1x8 HDMI Splitter HDbitT over IP Extender Kit 120m,SIIG,,https://www.asipartner.com/partneraccess/Products/Products.aspx?SKU=252029,https://www.asipartner.com/ocadmin/images/original/252029.jpg,Accessories,Accessories,
252030,,SIIG AC CE-DP0Q11-S1 Triple 4K DisplayPort 1.4 to HDMI MST Hub Splitter,SIIG,,https://www.asipartner.com/partneraccess/Products/Products.aspx?SKU=252030,https://www.asipartner.com/ocadmin/images/original/252030.jpg,Accessories,Accessories,
253102,,SIIG Cable CB-H20S11-S1 4K High Speed HDMI Cable 4ft Color Box,SIIG,,https://www.asipartner.com/partneraccess/Products/Products.aspx?SKU=253102,https://www.asipartner.com/ocadmin/images/original/253102.jpg,Cables,External IDE,
253103,,SIIG Cable CB-H20U11-S1 4K High Speed HDMI Cable 12ft Color Box,SIIG,,https://www.asipartner.com/partneraccess/Products/Products.aspx?SKU=253103,https://www.asipartner.com/ocadmin/images/original/253103.jpg,Cables,External IDE,
253104,,SIIG Cable CB-H20V11-S1 4K High Speed HDMI Cable 16ft Color Box,SIIG,,https://www.asipartner.com/partneraccess/Products/Products.aspx?SKU=253104,https://www.asipartner.com/ocadmin/images/original/253104.jpg,Cables,External IDE,
253105,,SIIG Cable CB-H20W11-S1 4K High Speed HDMI Cable 25ft Color Box,SIIG,,https://www.asipartner.com/partneraccess/Products/Products.aspx?SKU=253105,https://www.asipartner.com/ocadmin/images/original/253105.jpg,Cables,External IDE,
253107,,SIIG Cable CB-H20X11-S1 4K High Speed HDMI Cable 50ft Color Box,SIIG,,https://www.asipartner.com/partneraccess/Products/Products.aspx?SKU=253107,https://www.asipartner.com/ocadmin/images/original/253107.jpg,Cables,External IDE,
253108,,SIIG Cable CB-H21011-S1 Ultra High Speed HDMI Cable - 12ft Color Box,SIIG,,https://www.asipartner.com/partneraccess/Products/Products.aspx?SKU=253108,https://www.asipartner.com/ocadmin/images/original/253108.jpg,Cables,External IDE,
253109,,SIIG Cable CB-H20Y11-S1 Ultra High Speed HDMI Cable 4ft Color Box,SIIG,,https://www.asipartner.com/partneraccess/Products/Products.aspx?SKU=253109,https://www.asipartner.com/ocadmin/images/original/253109.jpg,Cables,External IDE,
253110,,SIIG Cable CB-H20Z11-S1 Ultra High Speed HDMI Cable - 8ft Color Box,SIIG,,https://www.asipartner.com/partneraccess/Products/Products.aspx?SKU=253110,https://www.asipartner.com/ocadmin/images/original/253110.jpg,Cables,External IDE,
253757,,SIIG CB CB-DP1V12-S1 DisplayPort to DVI 6ft Cable PS8121E Black OPP Bag,SIIG,,https://www.asipartner.com/partneraccess/Products/Products.aspx?SKU=253757,https://www.asipartner.com/ocadmin/images/original/253757.jpg,Cables,External IDE,
253759,,SIIG CB CB-DP1W12-S1 Mini DisplayPort to DVI 3ft Cable PS8121E Black OPP Bag,SIIG,,https://www.asipartner.com/partneraccess/Products/Products.aspx?SKU=253759,https://www.asipartner.com/ocadmin/images/original/253759.jpg,Cables,External IDE,
253760,,SIIG AC CB-DP1X12-S1 Mini DisplayPort to DVI Adapter - Active Black OPP Bag,SIIG,,https://www.asipartner.com/partneraccess/Products/Products.aspx?SKU=253760,https://www.asipartner.com/ocadmin/images/original/253760.jpg,Accessories,Accessories,
253761,,SIIG CB CB-DP1Q12-S1 DisplayPort 1.2 to HDMI 6ft Cable 4K 30Hz Black OPP Bag,SIIG,,https://www.asipartner.com/partneraccess/Products/Products.aspx?SKU=253761,https://www.asipartner.com/ocadmin/images/original/253761.jpg,Cables,External IDE,
256497,,SIIG AC CE-H26Y11-S1 HDMI 2.0 KVM Over Cat6 Extender with Loopout & S PDIF,SIIG,,https://www.asipartner.com/partneraccess/Products/Products.aspx?SKU=256497,https://www.asipartner.com/ocadmin/images/original/256497.jpg,Accessories,Accessories,
259179,,SIIG AC CB-DP2611-S1 DisplayPort1.4 to HDMI Adapter 8K Male to Female OPP Bag,SIIG,,https://www.asipartner.com/partneraccess/Products/Products.aspx?SKU=259179,https://www.asipartner.com/ocadmin/images/original/259179.jpg,Accessories,Accessories,
259180,,SIIG AC CB-TC0L11-S1 USB-C to HDMI Adapter 8K Male to Female OPP Bag,SIIG,,https://www.asipartner.com/partneraccess/Products/Products.aspx?SKU=259180,https://www.asipartner.com/ocadmin/images/original/259180.jpg,Accessories,Accessories,
259208,,SIIG Accessory CE-PD0111-S1 Keyboard Wrist Rest Pad Blue Color Box,SIIG,,https://www.asipartner.com/partneraccess/Products/Products.aspx?SKU=259208,https://www.asipartner.com/ocadmin/images/original/259208.jpg,Accessories,Accessories,
259211,,SIIG Cable CB-TC0B12-S1 2M USB Type-C to HDMI Cable Black OPP Bag,SIIG,,https://www.asipartner.com/partneraccess/Products/Products.aspx?SKU=259211,https://www.asipartner.com/ocadmin/images/original/259211.jpg,Cables,External IDE,
